,test_loss,test_accuracy,test_f1,test_precision,test_recall,test_runtime,test_samples_per_second,test_steps_per_second,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_steps,learning_rate,num_train_epochs,per_device_eval_batch_size,per_device_train_batch_size,save_steps,seed,warmup_ratio,weight_decay
00000,0.7063437104225159,0.7594097687998106,0.7624861601067489,0.7593482322653213,0.776274714995585,44.0103,287.955,4.522,0.7089395523071289,0.7589026019966983,0.7617721208384602,0.7572554324983786,0.7774186237669269,44.7001,284.585,4.452,1087,2.49816047538945e-05,2,32,8,1087,42,0.1,0.01
00004,0.6807253956794739,0.7635129803519293,0.7661157202134433,0.7625935305513366,0.7772501533997792,44.5512,284.459,4.467,0.6818621754646301,0.7611822969892305,0.7640107876068453,0.758763268107116,0.7775740211519788,45.3826,280.306,4.385,1087,3.404460046972836e-05,2,32,8,1087,42,0.1,0.01
00006,0.679793119430542,0.7584628738262448,0.7605743208764317,0.7579021587741109,0.7705206683912372,44.5376,284.546,4.468,0.6878826022148132,0.7559154154547598,0.7580728048100408,0.7541327311776902,0.7701344894117647,44.9369,283.086,4.428,1087,4.329770563201687e-05,2,32,8,1087,42,0.1,0.01
00010,0.7431821823120117,0.7089876114574292,0.7106777012296869,0.7185248702400152,0.7314907019858028,44.6623,283.752,4.456,0.7604480981826782,0.6987658202971464,0.7003315476321527,0.7068888019644447,0.723039096646315,44.9639,282.916,4.426,1087,3.4474115788895184e-05,2,32,8,1087,42,0.1,0.01
00012,0.7144274115562439,0.7157736921013178,0.7177490971975472,0.7238771193363233,0.7371232214247373,44.7162,283.41,4.45,0.7373166680335999,0.7051332442418049,0.706712884308286,0.7119537861764561,0.7266435451678666,45.0214,282.554,4.42,1087,2.824279936868144e-05,2,32,8,1087,42,0.1,0.01
00014,0.731502115726471,0.7089087035429653,0.7115133822608639,0.7153569389610331,0.7348719096896081,44.4122,285.35,4.481,0.7478832602500916,0.7053690747582737,0.7071049376947944,0.7108936707863803,0.7309029198717595,44.7793,284.082,4.444,1087,3.36965827544817e-05,2,32,8,1087,42,0.1,0.01
00017,0.7931884527206421,0.6891817249270101,0.688821367141445,0.7079854770885947,0.7099313323671245,44.5085,284.732,4.471,0.8097670078277588,0.6823362943164846,0.681909698159569,0.701668391529914,0.703890109228528,44.7009,284.581,4.452,543,4.7955421490133334e-05,2,32,16,543,42,0.1,0.01
