,test_loss,test_accuracy,test_f1,test_precision,test_recall,test_runtime,test_samples_per_second,test_steps_per_second,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_steps,learning_rate,num_train_epochs,per_device_eval_batch_size,per_device_train_batch_size,save_steps,seed,warmup_ratio,weight_decay
00000,0.646857500076294,0.7684052710486862,0.771674502722607,0.7672338450035155,0.7815299706522162,55.0448,230.231,3.615,0.6524287462234497,0.7670780599009512,0.7699555693282717,0.7642822128359051,0.7821033363711303,44.6427,284.951,4.458,1087,1.6595613641357257e-05,2,32,14,1087,42,0.1,0.023255572624036797
00001,0.6543813347816467,0.7594097687998106,0.7621054798599703,0.7601080107805376,0.7748985922228756,44.327,285.898,4.489,0.6573663353919983,0.7604748054398239,0.7624694929439975,0.7592472180925127,0.776172801700318,44.692,284.637,4.453,1087,8.658703817465679e-06,2,32,16,1087,42,0.1,0.00816845589476017
00002,0.6391086578369141,0.7622504537205081,0.7647854365864933,0.7618998020037537,0.7761126285861554,44.4363,285.195,4.478,0.6432666778564453,0.762204229227262,0.764656711486559,0.7604074817608977,0.778250368166248,44.7052,284.553,4.451,1087,8.312355664767051e-06,2,32,15,1087,42,0.1,0.007841717658969764
00003,0.7178168296813965,0.7534127673005603,0.7558064360720907,0.7523729193937768,0.7650155434161893,44.6337,283.934,4.459,0.7226767539978027,0.7469538558289442,0.7495157782947001,0.7449154905718159,0.7609469650078702,45.8165,277.651,4.343,1087,6.586289317583104e-05,2,32,14,1087,42,0.1,0.01129207342891646
00004,0.6553311347961426,0.7598043083721298,0.7623031191507005,0.760659023376275,0.7744735442139592,44.8362,282.651,4.438,0.658435583114624,0.7590598223410109,0.7610776636256497,0.7580617361279179,0.7747634677861391,45.0345,282.473,4.419,1087,8.312355664767051e-06,2,32,16,1087,42,0.1,0.0012385137298860935
00005,0.6531034111976624,0.7611457429180146,0.7635361430698812,0.7629310900734069,0.7751924589187619,44.4951,284.818,4.472,0.6550915837287903,0.7567801273484789,0.7586922264676446,0.7567920935539956,0.7724026629099098,44.7851,284.045,4.443,1087,1.2468533497150577e-05,2,32,22,1087,42,0.1,0.007841717658969764
00006,0.6266455054283142,0.756174544306794,0.7585356189833979,0.7562091785562334,0.7699809868895962,44.5307,284.59,4.469,0.634258508682251,0.7540287713230092,0.7560837283658232,0.7527059830840441,0.7688769759362403,44.8182,283.835,4.44,1087,5.541570443178035e-06,2,32,22,1087,42,0.1,0.022941144328643994
00007,0.6201093792915344,0.7634340724374655,0.7659071216833615,0.7631373227817244,0.7762582170208298,44.8271,282.708,4.439,0.6271493434906006,0.7633833818096062,0.7655150699822121,0.7613856534717058,0.7774543656892048,44.8994,283.322,4.432,1087,6.926963053972543e-06,2,32,19,1087,42,0.1,0.009802147073712204
00008,0.6730373501777649,0.7648544148978142,0.7667666787553694,0.7657280094171988,0.7760187862016563,44.452,285.094,4.477,0.6853116750717163,0.7652700259413568,0.7668802010681749,0.7641403608960138,0.7772980278186848,44.6731,284.757,4.455,1087,9.974826797720462e-06,2,32,12,1087,42,0.1,0.009410061190763716
00009,0.6386634707450867,0.7568847155369683,0.7588113885954509,0.7585008261570007,0.7701390994747342,44.418,285.312,4.48,0.6451961398124695,0.751984906846946,0.7536281730856631,0.7521081275006344,0.7665690110386058,45.4107,280.132,4.382,1087,5.541570443178035e-06,2,32,22,1087,42,0.1,0.007841717658969764
00010,0.6197143793106079,0.7691154422788605,0.771489887430059,0.7691619318878994,0.7794718516052271,44.5194,284.663,4.47,0.6246083378791809,0.7669208395566386,0.7689989273065323,0.7649337992849081,0.7782876208142818,44.5583,285.491,4.466,1087,8.312355664767051e-06,2,32,14,1087,42,0.1,0.001349283426801326
00011,0.6487869620323181,0.762723901207291,0.7650034063905854,0.762597442257182,0.7756251019957694,44.4214,285.29,4.48,0.6584349870681763,0.7618897885386369,0.7639563471697413,0.7602046716100527,0.775855981908109,44.5688,285.424,4.465,1087,6.649884531813642e-06,2,32,12,1087,42,0.1,0.0062733741271758115
00012,0.7827857732772827,0.759251952970883,0.7617130085975679,0.7607106665202643,0.7737638753626568,44.3782,285.568,4.484,0.7915187478065491,0.7582737206194482,0.7601834011534284,0.7577501543890484,0.7733073305253559,44.5565,285.503,4.466,1087,8.312355664767051e-06,2,32,8,1087,42,0.1,0.007841717658969764
00013,0.6271148920059204,0.7695888897656435,0.7720075837618356,0.7703424541517331,0.7795200181212257,44.4797,284.917,4.474,0.6303297877311707,0.7651128055970443,0.7672392092048529,0.763560256770831,0.7760780429166477,44.5486,285.553,4.467,1087,9.974826797720462e-06,2,32,14,1087,42,0.1,0.009410061190763716
00014,0.6339427828788757,0.7713248638838476,0.7737780957047714,0.7714097208892431,0.7820986430724544,44.2814,286.192,4.494,0.6367824077606201,0.7669208395566386,0.7691520041349927,0.764727582954925,0.7789622089732718,44.6262,285.057,4.459,1087,1.2468533497150577e-05,2,32,14,1087,42,0.1,0.007841717658969764
00015,0.6637930870056152,0.7620926378915805,0.7647259130233698,0.7626976674031054,0.7775522158380737,44.4406,285.167,4.478,0.6666919589042664,0.7612609071613867,0.763460294910758,0.7599796770975278,0.7775027525563947,45.3952,280.228,4.384,1087,1.0390444580958814e-05,2,32,16,1087,42,0.1,0.009802147073712204
00016,0.7123843431472778,0.7440227254793655,0.7468590049915947,0.742698831852583,0.7601374136421385,44.7666,283.09,4.445,0.7190350890159607,0.739485889474098,0.7425864981668727,0.737321690307707,0.7576472349643851,44.7134,284.501,4.451,1087,7.902619549708221e-05,2,32,14,1087,42,0.1,0.0050186993017406496
00017,0.6670379042625427,0.7660380336147715,0.7682608109764213,0.7671218947867512,0.7766060040392477,44.5594,284.407,4.466,0.6705966591835022,0.7648769750805754,0.7670500571739659,0.763954013869803,0.7770426763533232,44.8965,283.341,4.432,1087,1.0390444580958814e-05,2,32,12,1087,42,0.1,0.006534764715808137
00018,0.6335318684577942,0.7685630868776139,0.7711135390034297,0.7684522687655996,0.7811334895628886,44.8196,282.756,4.44,0.6392701864242554,0.7616539580221681,0.7640487777775,0.759648353710208,0.7768304884083506,44.8437,283.674,4.438,1087,1.0390444580958814e-05,2,32,19,1087,42,0.1,0.009802147073712204
00019,0.7540276646614075,0.7553854651621558,0.7580917186725843,0.7560829912267198,0.772026433019596,44.5475,284.483,4.467,0.7623942494392395,0.753399889945759,0.7558259344374244,0.7529359116867621,0.7715893125521521,44.7789,284.085,4.444,1087,4.6386309723972814e-05,2,32,16,1087,42,0.1,0.007841717658969764
